timestamp;inx;sampleNum;samplePeriodPress;breathRate;filterType;dataType;Samples
1579604552;39;737;75;285;7;1;2556
1579604552;43;737;75;285;7;1;2569
1579604552;47;737;75;285;7;1;2581
1579604552;51;737;75;285;7;1;2586
1579604552;55;737;75;285;7;1;2596
1579604552;59;737;75;285;7;1;2608
1579604552;63;737;75;285;7;1;2616
1579604552;67;737;75;285;7;1;2624
1579604553;576;738;75;285;7;1;2630
1579604553;580;738;75;285;7;1;2637
1579604553;584;738;75;285;7;1;2642
1579604553;588;738;75;285;7;1;2643
1579604553;592;738;75;285;7;1;2646
1579604553;596;738;75;285;7;1;2652
1579604553;600;738;75;285;7;1;2655
1579604553;604;738;75;285;7;1;2658
1579604553;608;738;75;285;7;1;2659
1579604553;612;738;75;285;7;1;2659
1579604553;616;738;75;285;7;1;2657
1579604553;620;738;75;285;7;1;2655
1579604553;624;738;75;285;7;1;2653
1579604554;19;739;75;126;7;1;2649
1579604554;23;739;75;126;7;1;2645
1579604554;27;739;75;126;7;1;2641
1579604554;31;739;75;126;7;1;2636
1579604554;35;739;75;126;7;1;2631
1579604554;39;739;75;126;7;1;2625
1579604554;43;739;75;126;7;1;2621
1579604554;47;739;75;126;7;1;2616
1579604554;51;739;75;126;7;1;2611
1579604554;55;739;75;126;7;1;2606
1579604554;59;739;75;126;7;1;2601
1579604554;63;739;75;126;7;1;2595
1579604554;67;739;75;126;7;1;2588
1579604555;555;740;75;126;7;1;2583
1579604555;559;740;75;126;7;1;2578
1579604555;563;740;75;126;7;1;2573
1579604555;567;740;75;126;7;1;2568
1579604555;571;740;75;126;7;1;2563
1579604555;575;740;75;126;7;1;2557
1579604555;579;740;75;126;7;1;2550
1579604555;583;740;75;126;7;1;2545
1579604555;587;740;75;126;7;1;2540
1579604555;591;740;75;126;7;1;2535
1579604555;595;740;75;126;7;1;2531
1579604555;599;740;75;126;7;1;2528
1579604555;603;740;75;126;7;1;2525
1579604556;555;741;75;126;7;1;2521
1579604556;559;741;75;126;7;1;2518
1579604556;563;741;75;126;7;1;2516
1579604556;567;741;75;126;7;1;2515
1579604556;571;741;75;126;7;1;2514
1579604556;575;741;75;126;7;1;2513
1579604556;579;741;75;126;7;1;2512
1579604556;583;741;75;126;7;1;2518
1579604556;587;741;75;126;7;1;2531
1579604556;591;741;75;126;7;1;2546
1579604556;595;741;75;126;7;1;2562
1579604556;599;741;75;126;7;1;2577
1579604556;603;741;75;126;7;1;2591
1579604557;40;742;75;126;7;1;2599
1579604557;44;742;75;126;7;1;2610
1579604557;48;742;75;126;7;1;2621
1579604557;52;742;75;126;7;1;2630
1579604557;56;742;75;126;7;1;2637
1579604557;60;742;75;126;7;1;2644
1579604557;64;742;75;126;7;1;2650
1579604557;68;742;75;126;7;1;2652
1579604557;72;742;75;126;7;1;2655
1579604557;76;742;75;126;7;1;2661
1579604557;80;742;75;126;7;1;2666
1579604557;84;742;75;126;7;1;2670
1579604557;88;742;75;126;7;1;2671
1579604558;576;743;75;145;7;1;2671
1579604558;580;743;75;145;7;1;2669
1579604558;584;743;75;145;7;1;2665
1579604558;588;743;75;145;7;1;2662
1579604558;592;743;75;145;7;1;2659
1579604558;596;743;75;145;7;1;2655
1579604558;600;743;75;145;7;1;2651
1579604558;604;743;75;145;7;1;2647
1579604558;608;743;75;145;7;1;2643
1579604558;612;743;75;145;7;1;2637
1579604558;616;743;75;145;7;1;2632
1579604558;620;743;75;145;7;1;2627
1579604558;624;743;75;145;7;1;2622
1579604559;684;744;75;145;7;1;2618
1579604559;688;744;75;145;7;1;2614
1579604559;692;744;75;145;7;1;2610
1579604559;696;744;75;145;7;1;2606
1579604559;700;744;75;145;7;1;2601
1579604559;704;744;75;145;7;1;2595
1579604559;708;744;75;145;7;1;2590
1579604559;712;744;75;145;7;1;2585
1579604559;716;744;75;145;7;1;2581
